StudentID,AcademicCollege,AcademicDepartment,AcademicMajor,EnrollmentTerm,TermSeason,TermYear,CohortYear,FirstTimeStatus,CreditsAttempted,FullTimeStatus,GPA,RetainedNextFall
S00005,Arts & Sciences,Mathematics,Mathematics Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,2.87,
S00005,Arts & Sciences,Mathematics,Mathematics Major,Summer 2025,Summer,2025,2024,Continuing,9,Full-Time,2.61,
S00006,Arts & Sciences,Chemistry,Chemistry Major,Fall 2023,Fall,2023,2023,First-Time,12,Full-Time,2.57,Not Retained
S00006,Arts & Sciences,Chemistry,Chemistry Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,2.75,
S00006,Arts & Sciences,Chemistry,Chemistry Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,3.34,
S00006,Arts & Sciences,Chemistry,Chemistry Major,Fall 2024,Fall,2024,2023,Continuing,16,Full-Time,2.12,Not Retained
S00006,Arts & Sciences,Chemistry,Chemistry Major,Spring 2025,Spring,2025,2023,Continuing,13,Full-Time,2.77,
S00006,Arts & Sciences,Chemistry,Chemistry Major,Summer 2025,Summer,2025,2023,Continuing,9,Full-Time,2.93,
S00007,Business,Information Systems,Information Systems Major,Fall 2023,Fall,2023,2024,Continuing,16,Full-Time,2.74,Retained
S00007,Business,Information Systems,Information Systems Major,Spring 2024,Spring,2024,2024,Continuing,12,Full-Time,2.51,
S00007,Business,Information Systems,Information Systems Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.07,
S00007,Business,Information Systems,Information Systems Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,1.95,Retained
S00007,Business,Information Systems,Information Systems Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,2.86,
S00007,Business,Information Systems,Information Systems Major,Summer 2025,Summer,2025,2024,Continuing,9,Full-Time,2.42,
S00008,Business,Finance,Finance Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,3.78,Retained
S00008,Business,Finance,Finance Major,Spring 2024,Spring,2024,2024,Continuing,9,Part-Time,4,
S00008,Business,Finance,Finance Major,Summer 2024,Summer,2024,2024,Continuing,9,Full-Time,3.69,
S00008,Business,Finance,Finance Major,Fall 2024,Fall,2024,2024,First-Time,10,Part-Time,3.38,Retained
S00008,Business,Finance,Finance Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,4,
S00008,Business,Finance,Finance Major,Summer 2025,Summer,2025,2024,Continuing,7,Full-Time,3.77,
S00009,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2023,First-Time,11,Part-Time,2.04,Retained
S00009,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,2.12,
S00009,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,2.71,
S00009,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,2.64,Retained
S00009,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,2.67,
S00009,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2023,Continuing,10,Full-Time,2.63,
S00010,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2024,Continuing,9,Part-Time,1.36,Not Retained
S00010,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,2.27,
S00010,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2024,Continuing,7,Full-Time,1.4,
S00010,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,1.99,Not Retained
S00010,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,1.92,
S00010,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2024,Continuing,9,Full-Time,2.29,
S00011,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2024,Continuing,11,Part-Time,2.47,Not Retained
S00011,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2024,Continuing,9,Part-Time,3.26,
S00011,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,3.47,
S00011,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,3.41,Retained
S00011,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,3.32,
S00011,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2024,Continuing,7,Full-Time,3.39,
S00012,Education,Secondary Education,Secondary Education Major,Fall 2023,Fall,2023,2024,Continuing,15,Full-Time,2.57,Retained
S00012,Education,Secondary Education,Secondary Education Major,Spring 2024,Spring,2024,2024,Continuing,16,Full-Time,2.49,
S00012,Education,Secondary Education,Secondary Education Major,Summer 2024,Summer,2024,2024,Continuing,8,Full-Time,2.89,
S00012,Education,Secondary Education,Secondary Education Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,2.23,Retained
S00012,Education,Secondary Education,Secondary Education Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,2.14,
S00012,Education,Secondary Education,Secondary Education Major,Summer 2025,Summer,2025,2024,Continuing,4,Part-Time,2.25,
S00013,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2025,Continuing,15,Full-Time,2.86,Not Retained
S00013,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2025,Continuing,17,Full-Time,2.41,
S00013,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2025,Continuing,9,Full-Time,3.05,
S00013,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2025,Continuing,15,Full-Time,3.18,Retained
S00013,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2025,Continuing,12,Full-Time,2.62,
S00013,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2025,Continuing,8,Full-Time,1.82,
S00014,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2024,Continuing,15,Full-Time,2.58,Not Retained
S00014,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,2.9,
S00014,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2024,Continuing,10,Full-Time,2.63,
S00014,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2024,First-Time,12,Full-Time,2.07,Retained
S00014,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2024,Continuing,9,Part-Time,2.66,
S00014,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,2.66,
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2023,Fall,2023,2024,Continuing,13,Full-Time,3.57,Retained
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,3.68,
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,3.95,
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,3.38,Retained
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2025,Spring,2025,2024,Continuing,11,Part-Time,2.96,
S00015,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2025,Summer,2025,2024,Continuing,10,Full-Time,3.88,
S00016,Business,Accounting,Accounting Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,3.13,Not Retained
S00016,Business,Accounting,Accounting Major,Spring 2024,Spring,2024,2024,Continuing,17,Full-Time,4,
S00016,Business,Accounting,Accounting Major,Summer 2024,Summer,2024,2024,Continuing,10,Full-Time,3.72,
S00016,Business,Accounting,Accounting Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,3.35,Not Retained
S00016,Business,Accounting,Accounting Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,4,
S00016,Business,Accounting,Accounting Major,Summer 2025,Summer,2025,2024,Continuing,4,Part-Time,3.74,
S00017,Business,Marketing,Marketing Major,Fall 2023,Fall,2023,2024,Continuing,16,Full-Time,2.68,Retained
S00017,Business,Marketing,Marketing Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,2.4,
S00017,Business,Marketing,Marketing Major,Summer 2024,Summer,2024,2024,Continuing,4,Part-Time,2.49,
S00017,Business,Marketing,Marketing Major,Fall 2024,Fall,2024,2024,First-Time,17,Full-Time,2.67,Retained
S00017,Business,Marketing,Marketing Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,2.59,
S00017,Business,Marketing,Marketing Major,Summer 2025,Summer,2025,2024,Continuing,9,Full-Time,2.67,
S00018,Business,Management,Management Major,Fall 2023,Fall,2023,2023,First-Time,16,Full-Time,3.05,Retained
S00018,Business,Management,Management Major,Spring 2024,Spring,2024,2023,Continuing,14,Full-Time,2.8,
S00018,Business,Management,Management Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,2.6,
S00018,Business,Management,Management Major,Fall 2024,Fall,2024,2023,Continuing,16,Full-Time,3.08,Retained
S00018,Business,Management,Management Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,3.28,
S00018,Business,Management,Management Major,Summer 2025,Summer,2025,2023,Continuing,9,Full-Time,3.54,
S00019,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2024,Continuing,17,Full-Time,2.28,Not Retained
S00019,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2024,Continuing,12,Full-Time,1.53,
S00019,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2024,Continuing,10,Full-Time,1.59,
S00019,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,2.88,Retained
S00019,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2024,Continuing,13,Full-Time,1.72,
S00019,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2024,Continuing,4,Part-Time,2.17,
S00020,Health Sciences,Public Health,Public Health Major,Fall 2023,Fall,2023,2023,First-Time,17,Full-Time,3.22,Retained
S00020,Health Sciences,Public Health,Public Health Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,2.65,
S00020,Health Sciences,Public Health,Public Health Major,Summer 2024,Summer,2024,2023,Continuing,6,Full-Time,3.33,
S00020,Health Sciences,Public Health,Public Health Major,Fall 2024,Fall,2024,2023,Continuing,13,Full-Time,2.62,Retained
S00020,Health Sciences,Public Health,Public Health Major,Spring 2025,Spring,2025,2023,Continuing,13,Full-Time,2.86,
S00020,Health Sciences,Public Health,Public Health Major,Summer 2025,Summer,2025,2023,Continuing,10,Full-Time,2.88,
S00021,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2023,First-Time,15,Full-Time,2.32,Retained
S00021,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2023,Continuing,12,Full-Time,3.01,
S00021,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2023,Continuing,8,Full-Time,2.2,
S00021,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2023,Continuing,9,Part-Time,2.35,Retained
S00021,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,2.45,
S00021,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2023,Continuing,11,Full-Time,2.19,
S00022,Education,Elementary Education,Elementary Education Major,Fall 2023,Fall,2023,2023,First-Time,12,Full-Time,3.35,Retained
S00022,Education,Elementary Education,Elementary Education Major,Spring 2024,Spring,2024,2023,Continuing,16,Full-Time,3.24,
S00022,Education,Elementary Education,Elementary Education Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,3.3,
S00022,Education,Elementary Education,Elementary Education Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,3.91,Retained
S00022,Education,Elementary Education,Elementary Education Major,Spring 2025,Spring,2025,2023,Continuing,17,Full-Time,3.5,
S00022,Education,Elementary Education,Elementary Education Major,Summer 2025,Summer,2025,2023,Continuing,4,Part-Time,4,
S00023,Health Sciences,Nursing,Nursing Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,3.45,Retained
S00023,Health Sciences,Nursing,Nursing Major,Spring 2024,Spring,2024,2024,Continuing,11,Part-Time,3.29,
S00023,Health Sciences,Nursing,Nursing Major,Summer 2024,Summer,2024,2024,Continuing,7,Full-Time,3.26,
S00023,Health Sciences,Nursing,Nursing Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,2.93,Not Retained
S00023,Health Sciences,Nursing,Nursing Major,Spring 2025,Spring,2025,2024,Continuing,12,Full-Time,2.82,
S00023,Health Sciences,Nursing,Nursing Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,4,
S00024,Business,Finance,Finance Major,Fall 2023,Fall,2023,2025,Continuing,9,Part-Time,2.65,Not Retained
S00024,Business,Finance,Finance Major,Spring 2024,Spring,2024,2025,Continuing,14,Full-Time,2.82,
S00024,Business,Finance,Finance Major,Summer 2024,Summer,2024,2025,Continuing,5,Part-Time,2.86,
S00024,Business,Finance,Finance Major,Fall 2024,Fall,2024,2025,Continuing,10,Part-Time,2.5,Retained
S00024,Business,Finance,Finance Major,Spring 2025,Spring,2025,2025,Continuing,12,Full-Time,2.44,
S00024,Business,Finance,Finance Major,Summer 2025,Summer,2025,2025,Continuing,4,Part-Time,3.34,
S00025,Business,Finance,Finance Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,3.02,Retained
S00025,Business,Finance,Finance Major,Spring 2024,Spring,2024,2023,Continuing,12,Full-Time,2.56,
S00025,Business,Finance,Finance Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,2.38,
S00025,Business,Finance,Finance Major,Fall 2024,Fall,2024,2023,Continuing,14,Full-Time,2.11,Retained
S00025,Business,Finance,Finance Major,Spring 2025,Spring,2025,2023,Continuing,12,Full-Time,2.65,
S00025,Business,Finance,Finance Major,Summer 2025,Summer,2025,2023,Continuing,5,Part-Time,2.96,
S00026,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2024,Continuing,9,Part-Time,2.44,Retained
S00026,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,2.74,
S00026,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,3.21,
S00026,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2024,First-Time,17,Full-Time,2.6,Retained
S00026,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2024,Continuing,12,Full-Time,3,
S00026,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2024,Continuing,10,Full-Time,3.06,
S00027,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2025,Continuing,17,Full-Time,2.28,Not Retained
S00027,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2025,Continuing,13,Full-Time,2.83,
S00027,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2025,Continuing,7,Full-Time,2.8,
S00027,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2025,Continuing,12,Full-Time,2.48,Retained
S00027,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2025,Continuing,15,Full-Time,3.1,
S00027,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2025,Continuing,8,Full-Time,3.14,
S00028,Arts & Sciences,Chemistry,Chemistry Major,Fall 2023,Fall,2023,2023,First-Time,12,Full-Time,3.23,Not Retained
S00028,Arts & Sciences,Chemistry,Chemistry Major,Spring 2024,Spring,2024,2023,Continuing,15,Full-Time,4,
S00028,Arts & Sciences,Chemistry,Chemistry Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,3.75,
S00028,Arts & Sciences,Chemistry,Chemistry Major,Fall 2024,Fall,2024,2023,Continuing,10,Part-Time,3.38,Retained
S00028,Arts & Sciences,Chemistry,Chemistry Major,Spring 2025,Spring,2025,2023,Continuing,15,Full-Time,2.58,
S00028,Arts & Sciences,Chemistry,Chemistry Major,Summer 2025,Summer,2025,2023,Continuing,5,Part-Time,2.83,
S00029,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2023,First-Time,17,Full-Time,1.89,Retained
S00029,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2023,Continuing,14,Full-Time,2.65,
S00029,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2023,Continuing,10,Full-Time,2.02,
S00029,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2023,Continuing,10,Part-Time,1.91,Not Retained
S00029,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,1.77,
S00029,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2023,Continuing,8,Full-Time,1.71,
S00030,Health Sciences,Public Health,Public Health Major,Fall 2023,Fall,2023,2025,Continuing,11,Part-Time,2.78,Retained
S00030,Health Sciences,Public Health,Public Health Major,Spring 2024,Spring,2024,2025,Continuing,16,Full-Time,2.83,
S00030,Health Sciences,Public Health,Public Health Major,Summer 2024,Summer,2024,2025,Continuing,3,Part-Time,2.62,
S00030,Health Sciences,Public Health,Public Health Major,Fall 2024,Fall,2024,2025,Continuing,11,Part-Time,2.42,Retained
S00030,Health Sciences,Public Health,Public Health Major,Spring 2025,Spring,2025,2025,Continuing,15,Full-Time,2.76,
S00030,Health Sciences,Public Health,Public Health Major,Summer 2025,Summer,2025,2025,Continuing,5,Part-Time,2.15,
S00031,Business,Marketing,Marketing Major,Fall 2023,Fall,2023,2023,First-Time,16,Full-Time,3.15,Retained
S00031,Business,Marketing,Marketing Major,Spring 2024,Spring,2024,2023,Continuing,16,Full-Time,3.81,
S00031,Business,Marketing,Marketing Major,Summer 2024,Summer,2024,2023,Continuing,6,Full-Time,2.91,
S00031,Business,Marketing,Marketing Major,Fall 2024,Fall,2024,2023,Continuing,9,Part-Time,3.69,Retained
S00031,Business,Marketing,Marketing Major,Spring 2025,Spring,2025,2023,Continuing,11,Part-Time,2.55,
S00031,Business,Marketing,Marketing Major,Summer 2025,Summer,2025,2023,Continuing,8,Full-Time,3.17,
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Fall 2023,Fall,2023,2024,Continuing,10,Part-Time,2.68,Retained
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Spring 2024,Spring,2024,2024,Continuing,17,Full-Time,2.62,
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,2.21,
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,2.63,Not Retained
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,1.66,
S00032,Health Sciences,Physical Therapy,Physical Therapy Major,Summer 2025,Summer,2025,2024,Continuing,10,Full-Time,1.73,
S00033,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,1.72,Not Retained
S00033,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,2.07,
S00033,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,1.65,
S00033,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2024,First-Time,17,Full-Time,2.29,Not Retained
S00033,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2024,Continuing,11,Part-Time,2.42,
S00033,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2024,Continuing,8,Full-Time,2.53,
S00034,Business,Management,Management Major,Fall 2023,Fall,2023,2025,Continuing,16,Full-Time,3.45,Retained
S00034,Business,Management,Management Major,Spring 2024,Spring,2024,2025,Continuing,12,Full-Time,3.97,
S00034,Business,Management,Management Major,Summer 2024,Summer,2024,2025,Continuing,10,Full-Time,3.57,
S00034,Business,Management,Management Major,Fall 2024,Fall,2024,2025,Continuing,10,Part-Time,3.05,Not Retained
S00034,Business,Management,Management Major,Spring 2025,Spring,2025,2025,Continuing,15,Full-Time,3.52,
S00034,Business,Management,Management Major,Summer 2025,Summer,2025,2025,Continuing,3,Part-Time,3.74,
S00035,Education,Secondary Education,Secondary Education Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,2.66,Retained
S00035,Education,Secondary Education,Secondary Education Major,Spring 2024,Spring,2024,2024,Continuing,17,Full-Time,3.17,
S00035,Education,Secondary Education,Secondary Education Major,Summer 2024,Summer,2024,2024,Continuing,3,Part-Time,2.36,
S00035,Education,Secondary Education,Secondary Education Major,Fall 2024,Fall,2024,2024,First-Time,12,Full-Time,2.81,Retained
S00035,Education,Secondary Education,Secondary Education Major,Spring 2025,Spring,2025,2024,Continuing,11,Part-Time,2.8,
S00035,Education,Secondary Education,Secondary Education Major,Summer 2025,Summer,2025,2024,Continuing,8,Full-Time,2.99,
S00036,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,3.09,Retained
S00036,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2023,Continuing,15,Full-Time,1.91,
S00036,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,2.28,
S00036,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2023,Continuing,15,Full-Time,2.57,Not Retained
S00036,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2023,Continuing,17,Full-Time,2.59,
S00036,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,2.72,
S00037,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,3.43,Retained
S00037,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2023,Continuing,12,Full-Time,3.68,
S00037,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,3.37,
S00037,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,3.18,Retained
S00037,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2023,Continuing,12,Full-Time,3.12,
S00037,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2023,Continuing,5,Part-Time,3.37,
S00038,Engineering,Computer Engineering,Computer Engineering Major,Fall 2023,Fall,2023,2025,Continuing,13,Full-Time,2.91,Retained
S00038,Engineering,Computer Engineering,Computer Engineering Major,Spring 2024,Spring,2024,2025,Continuing,11,Part-Time,3.12,
S00038,Engineering,Computer Engineering,Computer Engineering Major,Summer 2024,Summer,2024,2025,Continuing,7,Full-Time,3.28,
S00038,Engineering,Computer Engineering,Computer Engineering Major,Fall 2024,Fall,2024,2025,Continuing,17,Full-Time,3.72,Retained
S00038,Engineering,Computer Engineering,Computer Engineering Major,Spring 2025,Spring,2025,2025,Continuing,12,Full-Time,2.64,
S00038,Engineering,Computer Engineering,Computer Engineering Major,Summer 2025,Summer,2025,2025,Continuing,8,Full-Time,2.85,
S00039,Education,Secondary Education,Secondary Education Major,Fall 2023,Fall,2023,2025,Continuing,9,Part-Time,2.16,Not Retained
S00039,Education,Secondary Education,Secondary Education Major,Spring 2024,Spring,2024,2025,Continuing,16,Full-Time,2.57,
S00039,Education,Secondary Education,Secondary Education Major,Summer 2024,Summer,2024,2025,Continuing,4,Part-Time,2.67,
S00039,Education,Secondary Education,Secondary Education Major,Fall 2024,Fall,2024,2025,Continuing,16,Full-Time,2.55,Not Retained
S00039,Education,Secondary Education,Secondary Education Major,Spring 2025,Spring,2025,2025,Continuing,12,Full-Time,2.09,
